0.018900, -0.092059	 0.038503, -0.092059	 1.508676, -0.075779
0.018953, -0.075779	 0.038644, -0.075779	 1.432909, -0.059533
0.018973, -0.059533	 0.038741, -0.059533	 1.373387, -0.043273
0.018970, -0.043273	 0.038817, -0.043273	 1.330127, -0.026582
0.018942, -0.026582	 0.038868, -0.026582	 1.303558, -0.009879
0.018429, -0.009879	 0.039000, -0.009879	 1.294455, 0.120943
0.018363, 0.120943	 0.038969, 0.120943	 1.415410, 0.137563
0.018105, 0.137563	 0.038745, 0.137563	 1.552985, 0.153886
0.017810, 0.153886	 0.038504, 0.153886	 1.686883, 0.070127
0.017491, 0.070127	 0.038238, 0.070127	 1.737023, -0.013610
0.017296, -0.013610	 0.038097, -0.013610	 1.703425, -0.097347
0.017239, -0.097347	 0.038083, -0.097347	 1.606089, -0.081085
0.017779, -0.081085	 0.038962, -0.081085	 1.525771, 0.048642
0.017859, 0.048642	 0.039039, 0.048642	 1.574425, 0.064879
0.017749, 0.064879	 0.038926, 0.064879	 1.639315, 0.080732
0.017647, 0.080732	 0.038821, 0.080732	 1.700058, -0.003397
0.017523, -0.003397	 0.038694, -0.003397	 1.676673, -0.087504
0.017520, -0.087504	 0.038688, -0.087504	 1.589180, -0.071589
0.017661, -0.071589	 0.038834, -0.071589	 1.517603, -0.055765
0.018625, -0.055765	 0.039842, -0.055765	 1.462598, 0.073093
0.018754, 0.073093	 0.039955, 0.073093	 1.535702, 0.089008
0.018701, 0.089008	 0.039891, 0.089008	 1.624722, 0.104554
0.018625, 0.104554	 0.039804, 0.104554	 1.709287, 0.020047
0.018528, 0.020047	 0.039695, 0.020047	 1.709344, -0.064460
0.018551, -0.064460	 0.039707, -0.064460	 1.644895, -0.048978
0.018710, -0.048978	 0.039845, -0.048978	 1.595928, -0.033582
0.019840, -0.033582	 0.040806, -0.033582	 1.563095, 0.093348
0.019973, 0.093348	 0.040937, 0.093348	 1.656454, 0.108916
0.019922, 0.108916	 0.040905, 0.108916	 1.745382, 0.024750
0.019848, 0.024750	 0.040849, 0.024750	 1.750143, -0.059374
0.019899, -0.059374	 0.040918, -0.059374	 1.670781, -0.143518
0.020066, -0.143518	 0.041136, -0.143518	 1.527275, -0.127684
0.020351, -0.127684	 0.041472, -0.127684	 1.399601, -0.112107
0.022484, -0.112107	 0.044014, -0.112107	 1.288241, 0.014243
0.022720, 0.014243	 0.044361, 0.014243	 1.302496, 0.030270
0.022760, 0.030270	 0.044525, 0.030270	 1.332778, 0.045893
0.022776, 0.045893	 0.044667, 0.045893	 1.378682, 0.061527
0.022770, 0.061527	 0.044786, 0.061527	 1.440220, 0.077139
0.022758, 0.077139	 0.044883, 0.077139	 1.517371, 0.092837
0.022723, 0.092837	 0.044959, 0.092837	 1.610219, 0.108836
0.022254, 0.108836	 0.045380, 0.108836	 1.699811, 0.136348
0.022231, 0.136348	 0.045343, 0.136348	 1.816171, 0.052684
0.022166, 0.052684	 0.045265, 0.052684	 1.848868, -0.030979
0.022229, -0.030979	 0.045314, -0.030979	 1.797901, -0.114631
0.022418, -0.114631	 0.045489, -0.114631	 1.663282, -0.198327
0.022733, -0.198327	 0.045729, -0.198327	 1.464968, -0.182081
0.023166, -0.182081	 0.046089, -0.182081	 1.282899, -0.166145
0.026428, -0.166145	 0.048763, -0.166145	 1.117506, -0.039187
0.026819, -0.039187	 0.048972, -0.039187	 1.078331, -0.023211
0.027015, -0.023211	 0.048987, -0.023211	 1.055132, -0.007425
0.027187, -0.007425	 0.048979, -0.007425	 1.047718, 0.008339
0.027316, 0.008339	 0.048952, 0.008339	 1.056069, 0.024124
0.027421, 0.024124	 0.048901, 0.024124	 1.080205, 0.039898
0.027503, 0.039898	 0.048827, 0.039898	 1.120115, 0.055661
0.027845, 0.055661	 0.048177, 0.055661	 1.176516, 0.180590
0.027827, 0.180590	 0.048120, 0.180590	 1.357119, 0.196832
0.027627, 0.196832	 0.047881, 0.196832	 1.553962, 0.212425
0.027404, 0.212425	 0.047636, 0.212425	 1.746398, 0.127932
0.027158, 0.127932	 0.047369, 0.127932	 1.854341, 0.043504
0.027035, 0.043504	 0.047224, 0.043504	 1.877857, -0.040882
0.027036, -0.040882	 0.047203, -0.040882	 1.816986, -0.125267
0.027928, -0.125267	 0.048120, -0.125267	 1.672471, -0.098047
0.028158, -0.098047	 0.048376, -0.098047	 1.574436, -0.081825
0.028344, -0.081825	 0.048587, -0.081825	 1.492623, -0.065995
0.028512, -0.065995	 0.048787, -0.065995	 1.426639, -0.050099
0.028659, -0.050099	 0.048968, -0.050099	 1.376552, -0.033887
0.028782, -0.033887	 0.049124, -0.033887	 1.342677, -0.017709
0.028895, -0.017709	 0.049270, -0.017709	 1.324980, -0.001497
0.029596, -0.001497	 0.050237, -0.001497	 1.324246, 0.127270
0.029672, 0.127270	 0.050359, 0.127270	 1.451529, 0.143861
0.029555, 0.143861	 0.050287, 0.143861	 1.595402, 0.160103
0.029430, 0.160103	 0.050190, 0.160103	 1.735517, 0.076401
0.029278, 0.076401	 0.050068, 0.076401	 1.791930, -0.007039
0.029252, -0.007039	 0.050073, -0.007039	 1.764904, -0.090402
0.029373, -0.090402	 0.050193, -0.090402	 1.654514, -0.173742
0.031307, -0.173742	 0.052121, -0.173742	 1.481545, -0.043464
0.031731, -0.043464	 0.052460, -0.043464	 1.438094, -0.026467
0.031964, -0.026467	 0.052562, -0.026467	 1.411639, -0.010102
0.032171, -0.010102	 0.052640, -0.010102	 1.401549, 0.006209
0.032354, 0.006209	 0.052693, 0.006209	 1.407770, 0.022508
0.032542, 0.022508	 0.052700, 0.022508	 1.430291, 0.038835
0.032705, 0.038835	 0.052683, 0.038835	 1.469138, 0.055173
0.033816, 0.055173	 0.052356, 0.055173	 1.525082, 0.185316
