0.000000, -0.004153	 -0.008279, -0.012378	 -0.016440, -0.020475
-0.141275, -0.142949	 -0.144313, -0.145659	 -0.146992, -0.151501
-0.151241, -0.150972	 -0.150697, -0.149857	 -0.149003, -0.148148
-0.149475, -0.147934	 -0.146396, -0.144889	 -0.143388, -0.141895
-0.140641, -0.138529	 -0.137820, -0.137382	 -0.136951, -0.136528
-0.136067, -0.135935	 -0.133091, -0.133581	 -0.134400, -0.135221
-0.136044, -0.137162	 -0.138280, -0.137513	 -0.138886, -0.140261
-0.141632, -0.143093	 -0.144550, -0.146000	 -0.147725, -0.149465
-0.151190, -0.152782	 -0.154368, -0.155942	 -0.157382, -0.161109
-0.162128, -0.162901	 -0.163664, -0.164417	 -0.165158, -0.165675
-0.169339, -0.169627	 -0.169949, -0.170264	 -0.170571, -0.170934
-0.171290, -0.173982	 -0.174905, -0.175812	 -0.176708, -0.177718
-0.178718, -0.179707	 -0.183589, -0.184563	 -0.185517, -0.186300
-0.187071, -0.187832	 -0.188562, -0.192266	 -0.193186, -0.194091
-0.194965, -0.195828	 -0.196679, -0.197567	 -0.201924, -0.202823
-0.203864, -0.204889	 -0.205899, -0.206993	 -0.208070, -0.214111
-0.214781, -0.215434	 -0.216067, -0.216937	 -0.217770, -0.218581
-0.226201, -0.225602	 -0.224938, -0.224259	 -0.223053, -0.221861
-0.220660, -0.224613	 -0.222493, -0.220387	 -0.218123, -0.215862
-0.213606, -0.211323	 -0.211752, -0.209813	 -0.207836, -0.206030
-0.204230, -0.202437	 -0.200789, -0.198838	 -0.197332, -0.195996
-0.194671, -0.193355	 -0.192220, -0.191094	 -0.187942, -0.187067
-0.186217, -0.185378	 -0.184605, -0.183848	 -0.183100, -0.178859
-0.178751, -0.178650	 -0.178541, -0.178810	 -0.179086, -0.179369
-0.176196, -0.177653	 -0.179120, -0.180866	 -0.182608, -0.184348
-0.186299, -0.186311	 -0.188703, -0.191214	 -0.193714, -0.196203
-0.198957, -0.201697	 -0.204910, -0.207593	 -0.210256, -0.212903
-0.215532, -0.218083	 -0.220615, -0.226255	 -0.228232, -0.230180
-0.232108, -0.234054	 -0.235978, -0.237882	 -0.244570, -0.245964
-0.247304, -0.248517	 -0.249727, -0.250918	 -0.252070, -0.258378
-0.259491, -0.260497	 -0.261240, -0.261970	 -0.262684, -0.263669
-0.269895, -0.271029	 -0.272085, -0.273126	 -0.274147, -0.274974
-0.275800, -0.282069	 -0.282604, -0.283093	 -0.283567, -0.283822
-0.284062, -0.284288	 -0.290263, -0.290130	 -0.289978, -0.289782
-0.289549, -0.289305	 -0.289052, -0.293391	 -0.292789, -0.292170
-0.291225, -0.290277	 -0.289326, -0.288267	 -0.290348, -0.289188
-0.287863, -0.286545	 -0.285221, -0.283895	 -0.282384, -0.282591
-0.280476, -0.278358	 -0.276250, -0.274153	 -0.271971, -0.269802
-0.266635, -0.264717	 -0.262815, -0.260928	 -0.259339, -0.257764
-0.256203, -0.251469	 -0.250549, -0.249649	 -0.248760, -0.247693
-0.246637, -0.245593	 -0.243015, -0.242415	 -0.241827, -0.241435
-0.241044, -0.240658	 -0.239930, -0.238026	 -0.236679, -0.235148
-0.233624, -0.232109	 -0.230600, -0.228646	 -0.225280, -0.223010
-0.220650, -0.218307	 -0.215982, -0.213714	 -0.211478, -0.205105
-0.203123, -0.201169	 -0.199241, -0.197546	 -0.195871, -0.194218
-0.185878, -0.184805	 -0.183774, -0.182782	 -0.181859, -0.180954
-0.180070, -0.172856	 -0.172348, -0.171862	 -0.171468, -0.171090
-0.170724, -0.170275	 -0.164580, -0.164308	 -0.163845, -0.163395
-0.162959, -0.162535	 -0.161822, -0.155835	 -0.155149, -0.154558
-0.153984, -0.153424	 -0.152964, -0.152519	 -0.146677, -0.146502
-0.146358, -0.146226	 -0.146085, -0.145994	 -0.145913, -0.140704
-0.140922, -0.141183	 -0.141453, -0.141711	 -0.141979, -0.142257
-0.137970, -0.138670	 -0.139379, -0.140136	 -0.140912, -0.141692
-0.142477, -0.140090	 -0.141342, -0.142606	 -0.143621, -0.144641
-0.145658, -0.145871	 -0.144453, -0.144168	 -0.144102, -0.144036
-0.143972, -0.143911	 -0.143848, -0.142162	 -0.141962, -0.142092
-0.142228, -0.142373	 -0.142678, -0.142991	 -0.139287, -0.141105
-0.142942, -0.144781	 -0.147127, -0.149471	 -0.151812, -0.150391
-0.154225, -0.158055	 -0.161869, -0.165951	 -0.170014, -0.174057
-0.179344, -0.184552	 -0.189715, -0.195471	 -0.201170, -0.206828
-0.212562, -0.226365	 -0.232477, -0.238645	 -0.243610, -0.248517
-0.253365, -0.257517	 -0.275921, -0.278838	 -0.281356, -0.283821
